"Date","Shift","Leave","Fever","Sick","Injured_Surgery","Hospitalized","Natural_Disaster","Sick_Related","Family_member_Sick","Family_Issue","Baby_sitting","Funeral","Interview_Educational_Other","Family_Related","Work_Related","Transport_Related","Unauthorized","total_absent_shift"
2022-04-01,"A",24,17,1,0,1,3,22,0,2,3,4,6,15,0,0,2,100
2022-04-01,"B",24,17,1,0,1,3,22,0,2,3,4,6,15,0,0,2,100
2022-04-04,"A",21,6,0,2,5,0,13,2,4,0,5,1,12,1,0,2,74
2022-04-04,"B",17,1,0,3,24,0,28,3,3,5,15,1,27,0,0,6,133
2022-04-05,"A",19,7,2,2,4,0,15,2,0,3,5,2,12,2,0,3,78
2022-04-05,"B",19,7,2,2,4,0,15,2,0,3,5,2,12,2,0,3,78
2022-04-06,"A",22,5,1,4,3,0,13,4,3,2,5,2,16,1,0,6,87
2022-04-06,"B",22,5,1,4,3,0,13,4,3,2,5,2,16,1,0,6,87
2022-04-07,"A",15,6,5,2,3,0,16,7,8,3,6,7,31,1,1,4,115
2022-04-07,"B",36,2,16,7,3,0,28,11,7,6,4,4,32,3,0,4,163
2022-04-08,"A",23,6,5,4,2,0,17,8,5,3,9,5,30,2,2,8,129
2022-04-08,"B",33,8,20,3,3,0,34,14,9,7,5,3,38,2,1,1,181
2022-04-09,"A",40,14,26,6,1,0,47,12,6,4,19,4,45,3,1,28,256
2022-04-09,"B",48,9,21,4,3,0,37,16,7,7,8,5,43,2,1,7,218
2022-04-18,"A",12,6,8,3,3,0,20,10,15,4,19,11,59,0,6,13,189
2022-04-18,"B",27,5,20,7,3,0,35,14,10,9,8,5,46,2,18,9,218
2022-04-19,"A",16,0,7,7,7,4,25,0,4,6,4,8,22,9,1,13,133
2022-04-19,"B",34,0,3,21,6,3,33,0,15,14,7,7,43,2,4,4,196
2022-04-20,"A",9,6,8,7,5,0,26,4,5,3,12,2,26,2,7,14,136
2022-04-20,"B",22,10,6,20,4,2,42,1,11,9,5,2,28,2,8,1,173
2022-04-21,"A",17,0,5,10,6,3,24,0,4,5,2,7,18,3,0,9,113
2022-04-21,"B",19,3,4,20,3,2,32,0,5,6,4,4,19,4,6,2,133
2022-04-22,"A",15,0,5,8,4,3,20,0,2,9,3,9,23,5,0,0,106
2022-04-22,"B",19,3,16,2,3,0,24,4,9,6,3,2,24,7,1,3,126
2022-04-23,"A",14,6,6,6,4,0,22,7,13,3,4,5,32,1,0,7,130
2022-04-23,"B",15,3,8,2,3,0,16,5,5,4,3,2,19,8,0,3,96
2022-04-25,"A",10,3,9,3,5,0,20,7,13,4,7,5,36,0,1,7,130
2022-04-25,"B",18,1,12,3,0,0,16,6,7,3,2,3,21,5,0,3,100
2022-04-26,"A",15,4,15,4,4,0,27,10,9,7,6,5,37,0,1,7,151
2022-04-26,"B",17,2,13,5,4,0,24,5,9,3,1,2,20,7,0,4,116
2022-04-27,"A",14,5,14,4,5,0,28,5,9,5,5,5,29,4,2,6,140
2022-04-27,"B",13,1,2,4,3,0,10,4,5,3,2,1,15,6,0,3,72
2022-04-28,"A",15,4,15,4,4,0,27,10,9,7,6,5,37,0,1,7,151
2022-04-28,"B",15,3,8,2,3,0,16,5,5,4,3,2,19,8,0,3,96
2022-04-29,"A",8,8,8,4,4,0,24,6,6,4,3,3,22,4,1,4,109
2022-04-29,"B",12,5,17,3,1,0,26,5,4,2,3,4,18,6,0,4,110
2022-04-30,"A",18,8,7,5,2,0,22,4,5,4,3,2,18,2,2,7,109
2022-04-30,"B",17,5,10,1,2,0,18,5,5,4,3,3,20,7,0,6,106
2022-05-03,"A",7,6,10,4,0,0,20,6,3,0,2,2,13,2,1,4,80
2022-05-03,"B",19,3,13,1,2,0,19,6,6,2,10,5,29,8,0,1,124
2022-05-04,"A",25,5,18,3,2,0,28,6,7,3,5,3,24,7,0,4,140
2022-05-04,"B",25,5,18,3,2,0,28,6,7,3,5,3,24,7,0,4,140
2022-05-05,"A",11,8,4,6,3,0,21,10,2,1,1,1,15,2,1,5,91
2022-05-05,"B",23,5,10,1,4,0,20,8,6,1,3,4,22,4,0,0,111
2022-05-06,"A",8,6,5,2,1,0,14,3,4,1,5,2,15,1,1,5,73
2022-05-06,"B",11,8,4,6,3,0,21,10,2,1,1,1,15,2,1,5,91
2022-05-07,"A",8,6,5,2,1,0,14,3,4,1,5,2,15,1,1,5,73
2022-05-07,"B",26,11,14,3,1,0,29,10,3,0,6,1,20,1,0,2,127
2022-05-09,"A",12,8,16,1,1,0,26,1,11,3,2,3,20,2,15,9,130
2022-05-09,"B",25,5,18,3,2,0,28,6,7,3,5,3,24,7,0,4,140
2022-05-11,"A",13,8,15,1,1,0,25,2,14,3,2,3,24,2,11,10,134
2022-05-11,"B",20,3,15,2,2,0,22,5,3,4,5,1,18,0,2,0,102
